age,loyalty_tier,category,supplier_country,sales_channel,payment_method,quantity,unit_price,discount_pct,shipping_cost,return_flag,review_score,reported_order_total,delivery_time_days,order_month,order_weekday,customer_tenure_days,delayed_delivery_flag,discount_value,final_order_value,avg_item_cost,high_value_order,low_review_flag,shipping_ratio
69.0,,electronics,china,mobile-app,,1.0,39.85,10.0,11.48,1.0,5.0,47.34,0,5,6,0,0,3.985,35.865,35.865,1,0,0.3200892234769273
73.0,,kitchen,pakistan,mkt place,bank transfer,2.0,21.71,5.0,8.48,0.0,1.0,49.73,312,5,6,0,1,2.1710000000000003,41.249,20.6245,1,1,0.2055807413513055
42.0,gold,beauty,pakistan,mobile-app,,2.0,8.13,0.0,5.98,1.0,5.0,16.26,5,4,3,0,0,0.0,16.26,8.13,0,0,0.3677736777367774
29.0,,kitchen,pakistan,mobile-app,cc,1.0,22.4,5.0,1.57,0.0,4.0,40.52,0,5,6,0,0,1.12,21.28,21.28,0,0,0.0737781954887218
73.0,,home,pakistan,mkt place,debit card,1.0,17.73,10.0,6.75,1.0,4.0,22.71,5,10,1,110,0,1.773,15.957,15.957,0,0,0.4230118443316412
66.0,,home,china,website,,1.0,14.0,5.0,5.98,0.0,2.0,13.3,5,5,6,0,0,0.7,13.3,13.3,0,1,0.4496240601503759
63.0,,home,china,marketplace,cc,2.0,44.52,25.0,8.11,0.0,5.0,74.89,5,5,6,0,0,22.26,66.78,33.39,1,0,0.1214435459718478
42.0,bronze,home,pakistan,website,,2.0,22.16,5.0,12.77,1.0,2.0,54.87,0,5,6,0,0,2.216,42.104,21.052,1,1,0.3032965988979669
46.0,gold,baby,china,website,cc,3.0,9.46,5.0,0.0,0.0,4.0,26.96,0,5,6,753,0,1.419,26.961,8.987,0,0,0.0
42.0,silver,baby,pakistan,marketplace,paypal,2.0,13.59,5.0,6.04,0.0,5.0,31.86,5,5,6,0,0,1.359,25.821,12.9105,0,0,0.2339181286549707
33.0,platinum,home,australia,marketplace,cc,2.0,30.94,5.0,10.75,0.0,3.0,69.54,5,5,6,0,0,3.0940000000000003,58.786,29.393,1,0,0.1828666689347803
68.0,gold,home,pakistan,website,debit card,1.0,19.69,0.0,0.0,0.0,4.0,19.69,568,5,6,0,1,0.0,19.69,19.69,0,0,0.0
58.0,,baby,china,marketplace,credit card,1.0,8.98,10.0,4.26,0.0,4.0,12.34,5,5,6,0,0,0.8980000000000001,8.082,8.082,0,0,0.5270972531551595
52.0,gold,home,china,mobile app,credit card,1.0,35.37,110.0,6.03,0.0,5.0,2.49,5,6,0,0,0,38.907,-3.536999999999999,-3.536999999999999,0,0,-1.7048346055979648
60.0,gold,kitchen,pakistan,,paypal,1.0,28.72,0.0,0.37,0.0,1.0,29.09,0,9,5,0,0,0.0,28.72,28.72,0,1,0.0128830083565459
54.0,gold,baby,pakistan,call center,cash on delivery,4.0,30.28,15.0,0.0,0.0,4.0,102.95,0,5,6,0,0,18.168000000000003,102.952,25.738,1,0,0.0
29.0,,baby,china,mobile app,debit card,1.0,8.02,10.0,2.13,0.0,0.0,9.35,5,5,6,0,0,0.8019999999999999,7.218,7.218,0,1,0.2950955943474647
71.0,bronze,kitchen,china,mkt place,cod,2.0,9.6,20.0,5.33,1.0,4.0,20.69,0,5,6,0,0,3.84,15.36,7.68,0,0,0.3470052083333333
26.0,platinum,home,china,mobile app,cod,3.0,68.96,20.0,3.34,0.0,5.0,168.84,0,5,6,0,0,41.376000000000005,165.504,55.168,1,0,0.020180781129157
33.0,silver,electronics,pakistan,mobile app,cod,1.0,17.09,5.0,5.51,0.0,4.0,21.75,0,5,6,0,0,0.8545,16.2355,16.2355,0,0,0.339379754242247
58.0,silver,electronics,pakistan,mobile-app,bank transfer,3.0,22.4,10.0,3.97,0.0,4.0,-104.0,1215,5,6,816,1,6.719999999999999,60.47999999999999,20.16,1,0,0.0656415343915344
45.0,platinum,home,china,mkt place,debit card,3.0,77.11,15.0,4.65,0.0,5.0,201.28,5,5,6,0,0,34.6995,196.6305,65.5435,1,0,0.0236484167003593
-4.0,gold,beauty,uae,mobile-app,bank transfer,4.0,16.31,0.0,14.41,0.0,5.0,79.65,0,5,6,0,0,0.0,65.24,16.31,1,0,0.2208767627222563
30.0,silver,electronics,pakistan,,cash on delivery,5.0,19.69,5.0,0.35,0.0,4.0,93.88,0,5,6,424,0,4.9225,93.5275,18.7055,1,0,0.0037422148565929
37.0,gold,kitchen,pakistan,marketplace,cc,2.0,18.84,15.0,11.79,0.0,4.0,43.82,80,5,6,0,1,5.652,32.028,16.014,0,0,0.3681153990258524
23.0,platinum,beauty,china,call center,,1.0,7.88,20.0,7.81,1.0,5.0,14.11,5,5,6,0,0,1.5759999999999998,6.304,6.304,0,0,1.2388959390862944
62.0,platinum,beauty,pakistan,,credit card,1.0,31.35,5.0,5.78,0.0,5.0,35.56,5,5,6,0,0,1.5675,29.7825,29.7825,0,0,0.1940737009989087
29.0,bronze,baby,pakistan,mobile app,credit card,1.0,22.55,25.0,10.46,1.0,5.0,27.37,5,9,5,0,0,5.6375,16.9125,16.9125,0,0,0.6184774575018478
39.0,,home,china,marketplace,cc,2.0,27.55,10.0,4.81,0.0,0.0,40.52,0,5,6,0,0,5.51,49.59,24.795,1,1,0.0969953619681387
45.0,,beauty,pakistan,,credit card,3.0,6.91,0.0,5.98,0.0,5.0,20.73,5,11,1,0,0,0.0,20.73,6.91,0,0,0.2884708152436083
35.0,gold,baby,pakistan,mobile-app,cc,1.0,13.52,15.0,8.11,1.0,4.0,19.6,159,5,6,0,1,2.028,11.492,11.492,0,0,0.7057083188304908
73.0,,electronics,pakistan,website,paypal,3.0,30.99,10.0,5.41,0.0,1.0,89.08,5,5,6,0,0,9.297,83.673,27.891,1,1,0.0646564602679478
71.0,platinum,electronics,china,call center,paypal,1.0,20.04,15.0,6.96,0.0,2.0,23.99,5,12,0,926,0,3.006,17.034,17.034,0,1,0.4085945755547728
20.0,gold,electronics,china,website,,10.0,48.79,0.0,3.88,0.0,4.0,491.78,5,2,3,238,0,0.0,487.9,48.79,1,0,0.0079524492723918
54.0,bronze,electronics,china,website,cod,3.0,42.83,15.0,3.58,0.0,1.0,112.8,5,5,6,0,0,19.2735,109.2165,36.4055,1,1,0.0327789299235921
36.0,platinum,beauty,pakistan,mobile app,credit card,1.0,9.21,10.0,4.73,0.0,4.0,13.02,0,9,4,799,0,0.921,8.289000000000001,8.289000000000001,0,0,0.5706357823621667
74.0,bronze,electronics,china,,debit card,20.0,27.3,15.0,3.53,1.0,4.0,467.63,5,9,4,71,0,81.9,464.1,23.205,1,0,0.0076061193708252
44.0,gold,baby,china,call center,paypal,3.0,9.05,0.0,15.19,0.0,2.0,42.34,5,3,2,0,0,0.0,27.15,9.05,0,1,0.5594843462246777
66.0,,baby,uae,,paypal,2.0,68.26,10.0,0.17,1.0,3.0,40.52,0,8,2,0,0,13.652,122.868,61.434000000000005,1,0,0.0013835986587231
45.0,gold,baby,pakistan,website,debit card,3.0,11.86,15.0,0.0,0.0,3.0,30.24,536,5,6,0,1,5.337,30.243,10.081,0,0,0.0
26.0,bronze,home,china,website,credit card,2.0,18.88,0.0,7.7,0.0,4.0,45.46,5,5,6,0,0,0.0,37.76,18.88,1,0,0.2039194915254237
63.0,gold,kitchen,pakistan,mkt place,debit card,1.0,17.55,0.0,7.0,1.0,5.0,24.55,6,5,6,0,0,0.0,17.55,17.55,0,0,0.3988603988603988
33.0,,beauty,pakistan,,debit card,1.0,37.95,25.0,0.0,0.0,4.0,28.46,5,5,6,0,0,9.4875,28.4625,28.4625,0,0,0.0
36.0,gold,baby,china,mkt place,cash on delivery,2.0,8.05,5.0,16.88,0.0,4.0,32.17,5,5,6,0,0,0.805,15.295000000000002,7.647500000000001,0,0,1.1036286368094146
59.0,platinum,kitchen,australia,website,cash on delivery,1.0,16.41,0.0,7.49,1.0,5.0,23.9,0,5,6,0,0,0.0,16.41,16.41,0,0,0.4564290067032297
26.0,silver,kitchen,china,mobile app,paypal,2.0,16.17,0.0,1.78,0.0,5.0,40.52,5,9,0,0,0,0.0,32.34,16.17,0,0,0.0550401978973407
68.0,bronze,kitchen,china,marketplace,credit card,2.0,29.36,5.0,5.59,1.0,1.0,64.31,5,5,6,0,0,2.9360000000000004,55.784,27.892,1,1,0.100207944930446
62.0,gold,kitchen,pakistan,mobile app,credit card,5.0,20.46,0.0,7.86,0.0,1.0,110.16,579,5,6,0,1,0.0,102.3,20.46,1,1,0.07683284457478
36.0,bronze,beauty,uae,,debit card,1.0,21.34,10.0,4.63,0.0,4.0,23.84,213,4,5,199,1,2.134,19.206,19.206,0,0,0.2410704988024575
25.0,gold,baby,china,marketplace,debit card,1.0,10.25,20.0,9.14,0.0,1.0,17.34,5,5,6,0,0,2.05,8.2,8.2,0,1,1.1146341463414635
38.0,gold,home,china,mkt place,credit card,5.0,29.57,20.0,0.0,0.0,5.0,118.28,5,4,0,655,0,29.57,118.28,23.656,1,0,0.0
53.0,bronze,,,mobile-app,credit card,2.0,30.84,0.0,2.65,0.0,2.0,64.33,5,5,6,0,0,0.0,61.68,30.84,1,1,0.0429636835278858
59.0,gold,electronics,china,call center,bank transfer,1.0,22.4,10.0,0.0,0.0,4.0,40.52,5,1,4,0,0,2.24,20.16,20.16,0,0,0.0
44.0,,beauty,china,website,paypal,2.0,17.5,0.0,5.45,1.0,5.0,40.45,5,5,6,480,0,0.0,35.0,17.5,1,0,0.1557142857142857
48.0,bronze,electronics,pakistan,mobile-app,,2.0,77.13,5.0,4.78,0.0,4.0,151.33,5,5,6,0,0,7.712999999999999,146.547,73.2735,1,0,0.0326175220236511
45.0,gold,home,china,mobile app,credit card,5.0,74.06,5.0,5.9,1.0,5.0,357.68,5,10,2,1213,0,18.515,351.785,70.357,1,0,0.0167716076580866
45.0,silver,kitchen,china,mkt place,,1.0,32.93,25.0,8.25,1.0,5.0,32.95,5,5,6,277,0,8.2325,24.6975,24.6975,0,0,0.334041907075615
70.0,,baby,china,,debit card,1.0,8.01,5.0,6.3,0.0,4.0,13.91,5,5,6,0,0,0.4004999999999999,7.6095,7.6095,0,0,0.827912477823773
55.0,gold,beauty,china,marketplace,credit card,1.0,14.11,0.0,2.65,0.0,4.0,16.76,5,12,2,0,0,0.0,14.11,14.11,0,0,0.1878100637845499
54.0,bronze,baby,pakistan,mkt place,paypal,1.0,28.75,0.0,0.0,1.0,3.0,28.75,0,5,6,0,0,0.0,28.75,28.75,0,0,0.0
29.0,,beauty,china,website,debit card,20.0,6.57,20.0,7.26,1.0,3.0,112.38,5,5,6,0,0,26.28,105.12,5.256,1,0,0.0690639269406392
41.0,,home,china,mkt place,debit card,2.0,14.01,0.0,0.0,0.0,5.0,28.02,5,10,2,97,0,0.0,28.02,14.01,0,0,0.0
45.0,silver,beauty,china,call center,credit card,4.0,8.89,20.0,13.6,0.0,3.0,42.05,5,5,6,0,0,7.112,28.448,7.112,0,0,0.4780652418447694
125.0,,home,china,call center,credit card,2.0,56.9,5.0,1.39,1.0,2.0,109.5,5,5,6,0,0,5.69,108.11,54.055,1,1,0.0128572749976875
23.0,,home,china,website,paypal,2.0,20.25,50.0,3.0,0.0,5.0,23.25,5,5,6,0,0,20.25,20.25,10.125,0,0,0.1481481481481481
66.0,bronze,kitchen,australia,mobile app,cash on delivery,2.0,437.93,0.0,0.0,1.0,4.0,875.86,5,5,6,0,0,0.0,875.86,437.93,1,0,0.0
48.0,bronze,electronics,pakistan,marketplace,bank transfer,1.0,27.0,0.0,2.82,0.0,4.0,29.82,5,5,6,0,0,0.0,27.0,27.0,0,0,0.1044444444444444
56.0,gold,kitchen,australia,mobile app,,2.0,24.69,20.0,8.39,1.0,4.0,47.89,0,5,6,0,0,9.876,39.504000000000005,19.752,1,0,0.2123835560955852
37.0,gold,kitchen,china,website,,1.0,37.62,0.0,6.2,1.0,3.0,43.82,609,5,6,0,1,0.0,37.62,37.62,1,0,0.1648059542796385
32.0,silver,home,china,call center,bank transfer,1.0,55.37,50.0,1.62,0.0,3.0,29.3,5,5,6,0,0,27.685,27.685,27.685,0,0,0.05851544157486
56.0,,kitchen,china,,debit card,1.0,13.06,10.0,2.81,1.0,5.0,14.56,5,5,6,0,0,1.306,11.754,11.754,0,0,0.2390675514718393
59.0,,electronics,china,website,credit card,1.0,41.86,10.0,12.6,1.0,2.0,50.27,5,5,6,0,0,4.186,37.674,37.674,1,1,0.334448160535117
47.0,gold,home,australia,mobile app,paypal,3.0,52.25,20.0,10.82,0.0,4.0,136.22,5,5,6,0,0,31.35,125.4,41.8,1,0,0.0862838915470494
37.0,,kitchen,china,,cash on delivery,2.0,10.63,0.0,4.78,0.0,5.0,26.04,837,5,6,0,1,0.0,21.26,10.63,0,0,0.22483537158984
21.0,gold,home,pakistan,mkt place,,2.0,22.4,20.0,7.06,1.0,4.0,40.52,0,5,6,0,0,8.96,35.84,17.919999999999998,1,0,0.1969866071428571
52.0,,electronics,china,,paypal,1.0,35.31,5.0,7.48,0.0,5.0,41.02,5,5,6,0,0,1.7655,33.5445,33.5445,0,0,0.2229873749795048
33.0,,baby,pakistan,marketplace,,4.0,13.06,10.0,4.58,1.0,5.0,51.6,5,5,3,0,0,5.224,47.016000000000005,11.754,1,0,0.0974136464182405
27.0,,home,china,website,bank transfer,1.0,83.83,10.0,6.15,0.0,4.0,81.6,5,5,6,0,0,8.383,75.447,75.447,1,0,0.0815141755139369
68.0,gold,electronics,china,website,,3.0,27.2,5.0,9.24,1.0,5.0,90.84,5,5,6,0,0,4.08,77.52,25.84,1,0,0.1191950464396284
44.0,gold,home,china,,cash on delivery,1.0,13.93,0.0,8.06,0.0,3.0,21.99,5,5,6,0,0,0.0,13.93,13.93,0,0,0.5786073223259154
59.0,,beauty,china,mkt place,,10.0,15.85,25.0,7.49,0.0,4.0,126.36,1010,5,6,0,1,39.625,118.875,11.8875,1,0,0.0630073606729758
71.0,,beauty,uae,mobile-app,cod,3.0,19.35,0.0,6.03,1.0,2.0,64.08,241,5,6,0,1,0.0,58.05,19.35,1,1,0.103875968992248
57.0,gold,baby,uae,mobile-app,bank transfer,3.0,52.8,0.0,2.31,0.0,5.0,160.71,5,2,0,0,0,0.0,158.39999999999998,52.79999999999999,1,0,0.0145833333333333
20.0,,beauty,china,website,credit card,1.0,36.06,0.0,8.76,1.0,5.0,44.82,5,5,6,0,0,0.0,36.06,36.06,1,0,0.2429284525790349
22.0,gold,home,australia,mkt place,cash on delivery,2.0,38.62,0.0,3.44,0.0,5.0,80.68,5,5,6,0,0,0.0,77.24,38.62,1,0,0.0445365095805282
59.0,silver,electronics,pakistan,website,cc,1.0,28.68,0.0,4.71,1.0,4.0,33.39,4,3,5,0,0,0.0,28.68,28.68,0,0,0.1642259414225941
58.0,bronze,electronics,china,mkt place,cc,1.0,19.2,0.0,0.46,1.0,4.0,19.66,0,5,6,0,0,0.0,19.2,19.2,0,0,0.0239583333333333
23.0,platinum,baby,china,marketplace,bank transfer,2.0,9.96,5.0,8.7,1.0,4.0,-27.62,5,5,6,0,0,0.996,18.924000000000003,9.462000000000002,0,0,0.459733671528218
45.0,bronze,beauty,pakistan,call center,bank transfer,1.0,25.06,0.0,8.09,1.0,4.0,33.15,510,5,6,0,1,0.0,25.06,25.06,0,0,0.3228252194732642
43.0,platinum,kitchen,australia,mobile app,credit card,2.0,25.33,10.0,4.5,1.0,1.0,50.09,2,5,6,0,0,5.066,45.594,22.797,1,1,0.0986971969996052
63.0,gold,baby,pakistan,mobile-app,cod,1.0,25.74,10.0,2.95,1.0,5.0,26.12,5,5,6,0,0,2.574,23.166,23.166,0,0,0.1273417940084607
21.0,,home,pakistan,mkt place,paypal,1.0,18.16,20.0,1.89,1.0,4.0,16.42,937,5,6,0,1,3.632,14.528,14.528,0,0,0.1300936123348017
43.0,bronze,kitchen,pakistan,website,bank transfer,1.0,22.42,20.0,6.12,0.0,4.0,24.06,5,5,6,0,0,4.484,17.936,17.936,0,0,0.3412132024977699
39.0,platinum,beauty,pakistan,website,bank transfer,1.0,10.05,0.0,8.4,0.0,1.0,18.45,153,5,4,0,1,0.0,10.05,10.05,0,1,0.835820895522388
59.0,,home,china,mobile-app,bank transfer,3.0,680.55,0.0,6.94,0.0,5.0,2048.59,5,5,6,0,0,0.0,2041.65,680.55,1,0,0.003399211422134
20.0,gold,kitchen,pakistan,mobile app,credit card,2.0,21.45,5.0,9.29,1.0,4.0,50.04,398,5,6,0,1,2.145,40.755,20.3775,1,0,0.2279474911053858
41.0,gold,kitchen,australia,call center,paypal,2.0,16.79,0.0,7.87,0.0,5.0,41.45,226,5,6,0,1,0.0,33.58,16.79,0,0,0.234365693865396
49.0,,kitchen,pakistan,,cod,2.0,16.13,5.0,8.32,0.0,4.0,40.58,5,5,6,0,0,1.6129999999999998,30.647,15.3235,0,0,0.2714784481352171
39.0,,kitchen,china,marketplace,paypal,2.0,27.73,5.0,1.33,1.0,5.0,54.02,5,1,1,0,0,2.773,52.687,26.3435,1,0,0.0252434186801298
45.0,,baby,pakistan,call center,cc,1.0,22.4,0.0,10.29,0.0,6.0,40.52,5,5,6,0,0,0.0,22.4,22.4,0,0,0.459375
20.0,gold,beauty,pakistan,marketplace,cash on delivery,1.0,6.28,20.0,1.92,0.0,4.0,6.94,2,4,5,0,0,1.256,5.024,5.024,0,0,0.3821656050955413
59.0,,baby,pakistan,website,paypal,1.0,11.71,0.0,6.36,0.0,4.0,18.07,5,6,4,0,0,0.0,11.71,11.71,0,0,0.5431255337318531
22.0,silver,home,china,marketplace,paypal,2.0,49.46,0.0,1.87,0.0,1.0,100.79,5,2,6,0,0,0.0,98.92,49.46,1,1,0.0189041649818034
39.0,,electronics,china,website,credit card,1.0,42.4,5.0,5.13,0.0,4.0,45.41,0,5,6,0,0,2.12,40.28,40.28,1,0,0.1273584905660377
46.0,gold,baby,pakistan,,paypal,4.0,26.8,5.0,4.55,1.0,5.0,106.39,200,5,6,0,1,5.36,101.84,25.46,1,0,0.0446779261586802
72.0,platinum,home,china,,,1.0,63.26,0.0,9.95,0.0,5.0,73.21,5,8,1,408,0,0.0,63.26,63.26,1,0,0.1572873853936136
20.0,bronze,baby,pakistan,,paypal,5.0,33.75,5.0,3.93,0.0,4.0,164.24,0,5,6,0,0,8.4375,160.3125,32.0625,1,0,0.0245146198830409
40.0,gold,electronics,pakistan,marketplace,cash on delivery,4.0,22.4,5.0,0.0,1.0,5.0,40.52,735,5,6,0,1,4.48,85.11999999999999,21.28,1,0,0.0
25.0,gold,kitchen,australia,,cod,2.0,18.79,0.0,2.19,0.0,2.0,39.77,5,5,6,0,0,0.0,37.58,18.79,1,1,0.0582756785524215
32.0,silver,kitchen,china,mobile app,credit card,5.0,23.08,0.0,7.22,1.0,4.0,122.62,788,5,6,0,1,0.0,115.4,23.08,1,0,0.0625649913344887
71.0,,electronics,china,website,debit card,3.0,21.07,15.0,12.46,1.0,4.0,66.19,5,5,6,0,0,9.4815,53.7285,17.909499999999998,1,0,0.231906716174842
38.0,silver,kitchen,pakistan,call center,credit card,1.0,15.46,0.0,6.44,0.0,5.0,21.9,5,5,6,0,0,0.0,15.46,15.46,0,0,0.4165588615782665
37.0,,home,china,mobile-app,,5.0,80.74,5.0,14.22,0.0,3.0,397.74,546,5,6,67,1,20.185,383.515,76.703,1,0,0.03707808038799
62.0,gold,baby,china,marketplace,debit card,3.0,10.84,0.0,3.34,0.0,2.0,35.86,5,5,6,0,0,0.0,32.52,10.839999999999998,0,1,0.1027060270602706
66.0,,home,china,website,cash on delivery,3.0,24.17,0.0,11.27,0.0,4.0,83.78,5,11,1,445,0,0.0,72.51,24.17,1,0,0.1554268376775616
72.0,bronze,beauty,uae,,credit card,4.0,22.4,5.0,10.14,1.0,5.0,40.52,623,5,6,0,1,4.48,85.11999999999999,21.28,1,0,0.119125939849624
64.0,bronze,kitchen,pakistan,,,20.0,15.33,5.0,3.86,0.0,1.0,295.13,5,8,5,401,0,15.33,291.27000000000004,14.5635,1,1,0.0132523088543275
44.0,bronze,kitchen,pakistan,mkt place,bank transfer,4.0,15.42,50.0,0.97,0.0,5.0,31.81,0,5,6,0,0,30.84,30.84,7.71,0,0,0.0314526588845655
45.0,gold,beauty,uae,mkt place,cc,-1.0,21.58,0.0,7.07,0.0,5.0,-14.51,5,5,6,522,0,-0.0,-21.58,21.58,0,0,-0.3276181649675626
59.0,platinum,kitchen,australia,mkt place,credit card,1.0,25.55,0.0,0.65,1.0,2.0,26.2,5,5,6,0,0,0.0,25.55,25.55,0,1,0.0254403131115459
52.0,gold,baby,pakistan,website,cash on delivery,2.0,17.38,20.0,8.12,0.0,4.0,35.93,5,6,2,342,0,6.951999999999999,27.808,13.904,0,0,0.2920023014959723
23.0,platinum,baby,uae,call center,,2.0,51.04,5.0,2.53,0.0,5.0,99.51,5,5,6,0,0,5.104,96.976,48.488,1,0,0.0260889292196007
66.0,,electronics,china,mobile-app,paypal,1.0,19.03,10.0,5.37,0.0,4.0,22.5,5,5,6,0,0,1.903,17.127000000000002,17.127000000000002,0,0,0.3135400245226834
32.0,silver,baby,pakistan,mobile app,,4.0,19.07,25.0,9.47,1.0,5.0,66.68,5,5,6,0,0,19.07,57.21,14.3025,1,0,0.1655305016605488
27.0,gold,beauty,pakistan,mkt place,cash on delivery,3.0,6.86,15.0,0.72,0.0,5.0,18.21,5,8,3,621,0,3.0870000000000006,17.493000000000002,5.831,0,0,0.0411593208712056
125.0,gold,electronics,china,website,cc,1.0,27.77,20.0,2.62,0.0,5.0,24.84,5,5,6,0,0,5.553999999999999,22.216,22.216,0,0,0.1179330212459488
44.0,gold,electronics,pakistan,mkt place,cash on delivery,1.0,22.65,0.0,6.58,1.0,4.0,29.23,0,5,6,0,0,0.0,22.65,22.65,0,0,0.2905077262693157
66.0,,home,australia,marketplace,cod,1.0,22.4,15.0,7.08,0.0,5.0,40.52,5,5,6,0,0,3.36,19.04,19.04,0,0,0.3718487394957983
48.0,platinum,kitchen,australia,website,credit card,2.0,21.03,20.0,8.89,0.0,1.0,42.54,5,8,5,415,0,8.412,33.648,16.824,0,1,0.2642058963385639
46.0,platinum,baby,pakistan,call center,paypal,1.0,21.78,0.0,6.67,0.0,5.0,28.45,0,5,6,0,0,0.0,21.78,21.78,0,0,0.3062442607897153
48.0,silver,baby,pakistan,call center,cod,1.0,10.79,5.0,6.21,1.0,4.0,17.0,5,5,6,0,0,0.5395,10.2505,10.2505,0,0,0.6058241061411639
38.0,silver,baby,pakistan,mobile app,cod,5.0,16.33,5.0,11.63,0.0,1.0,93.28,5,5,6,0,0,4.0825,77.5675,15.5135,1,1,0.149933928513875
24.0,silver,baby,pakistan,website,cash on delivery,2.0,17.5,0.0,8.91,0.0,1.0,43.91,1182,5,6,273,1,0.0,35.0,17.5,1,1,0.2545714285714285
68.0,gold,home,australia,marketplace,credit card,2.0,50.4,0.0,8.43,0.0,4.0,40.52,0,5,6,0,0,0.0,100.8,50.4,1,0,0.0836309523809523
25.0,platinum,home,australia,mobile app,paypal,1.0,22.4,5.0,4.72,1.0,5.0,40.52,15,5,6,0,1,1.12,21.28,21.28,0,0,0.2218045112781955
74.0,bronze,baby,pakistan,,paypal,2.0,31.26,15.0,7.81,0.0,5.0,60.95,5,5,6,0,0,9.378,53.142,26.571,1,0,0.1469647359903654
59.0,,beauty,uae,,paypal,1.0,19.19,0.0,0.32,0.0,5.0,19.51,5,5,5,0,0,0.0,19.19,19.19,0,0,0.0166753517457008
25.0,gold,electronics,pakistan,mkt place,cod,1.0,80.57,0.0,6.11,0.0,2.0,86.68,5,5,6,0,0,0.0,80.57,80.57,1,1,0.0758346779198212
43.0,bronze,beauty,pakistan,mkt place,cc,1.0,21.58,5.0,6.15,0.0,4.0,26.65,171,5,6,0,1,1.079,20.501,20.501,0,0,0.2999853665674846
32.0,bronze,kitchen,pakistan,website,cc,1.0,14.91,25.0,4.48,0.0,5.0,15.66,5,8,3,0,0,3.7275,11.1825,11.1825,0,0,0.4006259780907668
36.0,gold,kitchen,pakistan,website,cod,3.0,34.94,10.0,1.62,0.0,5.0,95.96,2,3,2,629,0,10.481999999999998,94.338,31.446,1,0,0.0171722953634802
31.0,silver,baby,pakistan,mobile app,cc,1.0,8.98,5.0,1.14,1.0,1.0,9.67,60,5,6,0,1,0.449,8.531,8.531,0,1,0.1336302895322939
56.0,,home,china,website,,3.0,26.8,0.0,12.6,1.0,5.0,93.0,883,5,6,0,1,0.0,80.4,26.8,1,0,0.1567164179104477
-4.0,,baby,pakistan,marketplace,debit card,1.0,24.05,0.0,10.6,0.0,4.0,34.65,708,5,6,0,1,0.0,24.05,24.05,0,0,0.4407484407484407
37.0,platinum,electronics,china,website,cash on delivery,1.0,17.13,0.0,5.98,0.0,4.0,17.13,5,5,6,0,0,0.0,17.13,17.13,0,0,0.3490951546993579
43.0,silver,kitchen,pakistan,mobile-app,cod,1.0,31.63,10.0,2.82,0.0,5.0,31.29,5,5,6,0,0,3.1630000000000003,28.467,28.467,0,0,0.0990620718726947
